Date,Close,Volume,,Date,Weighted_Sentiment,Simple_Avg_Sentiment,Close,Vol
2023/9/15,26608.69336,11479735788,,2024/11/5,-0.006816249,-0.005457478,69359.5625,46046889204
2023/9/16,26568.28125,7402031417,,2024/11/4,-0.008611438,-0.008767349,67811.50781,41184819348
2023/9/17,26534.1875,6774210670,,2024/11/3,0.002490078,0.005230962,68741.11719,34868307655
2023/9/18,26754.28125,15615339655,,2024/11/2,-0.002839622,-0.004727793,69289.27344,18184612091
2023/9/19,27211.11719,13807690550,,2024/11/1,0.003284634,-0.006026178,69482.46875,49989795365
2023/9/20,27132.00781,13281116604,,2024/10/31,-0.026163916,-0.025174052,70215.1875,40627912076
2023/9/21,26567.63281,13371443708,,2024/10/30,-0.005239189,-0.005292899,72339.53906,40646637831
2023/9/22,26579.56836,10578746709,,2024/10/29,0.03031044,-0.005917243,72720.49219,58541874402
2023/9/23,26579.39063,7404700301,,2024/10/28,-0.005606173,-0.007168639,69907.75781,38799856657
2023/9/24,26256.82617,8192867686,,2024/10/27,-0.007173265,-0.00581335,67929.29688,16721307878
2023/9/25,26298.48047,11997833257,,2024/10/26,-0.000348643,-0.003540337,67014.69531,19588098156
2023/9/26,26217.25,9985498161,,2024/10/25,-0.015253578,-0.015005103,66642.41406,41469984306
2023/9/27,26352.7168,11718380997,,2024/10/24,-0.00454193,-0.0048258,68161.05469,31414428647
2023/9/28,27021.54688,14079002707,,2024/10/23,-0.009934881,-0.010768759,66432.19531,32263980353
2023/9/29,26911.7207,10396435377,,2024/10/22,0.010491479,-0.003518092,67361.40625,31808472566
2023/9/30,26967.91602,5331172801,,2024/10/21,-0.006244483,-0.013550639,67367.85156,37498611780
2023/10/1,27983.75,9503917434,,2024/10/20,-0.041496848,-0.018111579,69001.70313,18975847518
2023/10/2,27530.78516,19793041322,,2024/10/19,-0.009513099,-0.010305857,68362.73438,14443497908
2023/10/3,27429.97852,11407814187,,2024/10/18,0,0,68418.78906,36857165014
2023/10/4,27799.39453,11143355314,,2024/10/17,0.015733771,0.017798309,67399.83594,32790898511
2023/10/5,27415.91211,11877253670,,2024/10/16,-0.012261811,-0.005870603,67612.71875,38195189534
2023/10/6,27946.59766,13492391599,,2024/10/15,-0.002364429,-0.006369063,67041.10938,48863870879
2023/10/7,27968.83984,6553044316,,2024/10/14,9.19E-05,-0.001421337,66046.125,43706958056
2023/10/8,27935.08984,7916875290,,2024/10/9,0,0,60582.10156,27670982363
2023/10/9,27583.67773,12007668568,,2024/10/8,-0.007246377,-0.007246377,62131.96875,28134475157
2023/10/10,27391.01953,9973350678,,2024/10/7,-0.001990553,-0.00210114,62236.66016,34253562610
2023/10/11,26873.32031,13648094333,,2024/10/6,0.004671323,0.00475474,62818.95313,14776233667
2023/10/12,26756.79883,9392909295,,2024/10/5,0.002315786,-0.00177308,62089.94922,13305410749
2023/10/13,26862.375,15165312851,,2024/10/4,0.001524761,-0.004092105,62067.47656,29585472513
2023/10/14,26861.70703,5388116782,,2024/10/2,0,0,60632.78516,40762722398
2023/10/15,27159.65234,7098201980,,2024/10/1,0,0,60837.00781,50220923500
2023/10/16,28519.4668,27833876539,,2024/9/30,0.004901961,0.005347594,63329.5,37112957475
