Date,Weighted_Sentiment,Total_Comments,Total_Upvotes,Avg_Upvotes,Max_Upvotes,Min_Upvotes,Simple_Avg_Sentiment
2024/4/25,-0.029749776,17,20,1.176470588,2,1,-0.033505978
2024/4/24,-0.003475668,63,88,1.396825397,6,0,-0.000977578
2024/4/23,-0.003458387,360,2314,6.427777778,248,0,-0.001954261
2024/4/22,0,13,24,1.846153846,3,1,0
2024/4/21,-0.003954143,119,371,3.117647059,33,0,-0.002525852
2024/4/20,0.002349584,136,2380,17.5,394,0,0.004312018
2024/4/19,-0.002197802,11,24,2.181818182,7,1,-0.003496503
2024/4/18,-0.005721411,87,282,3.24137931,18,2,-0.004029045
2024/4/17,0.002645525,267,465,1.741573034,23,1,0.001438937
2024/4/15,0.019043951,7,10,1.428571429,2,1,0.022339869
2024/4/14,0.007112826,22,22,1,1,1,0.007112826
2024/4/13,0.002791664,380,4124,10.85263158,556,1,-0.001057532
2024/4/11,-0.020547945,2,2,1,1,1,-0.020547945
2024/4/9,-0.008333333,1,1,1,1,1,-0.008333333
2024/4/6,0.024390244,1,1,1,1,1,0.024390244
2024/4/5,-0.060534591,3,3,1,1,1,-0.060534591
2024/4/4,-0.071428571,2,2,1,1,1,-0.071428571
2024/4/3,0,10,10,1,2,0,0
2024/4/2,-0.008409407,172,1133,6.587209302,135,0,-0.008479888
2024/4/1,-0.007966924,37,1713,46.2972973,580,0,-0.001005343
2024/3/31,-0.052631579,1,1,1,1,1,-0.052631579
2024/3/29,0,1,2,2,2,2,0
2024/3/28,-0.022907266,13,13,1,1,1,-0.022907266
2024/3/27,-0.000362556,166,3360,20.24096386,679,0,-0.002635126
2024/3/25,0,5,4,0.8,1,0,0
2024/3/24,0,1,2,2,2,2,0
2024/3/22,0.028985507,1,1,1,1,1,0.028985507
2024/3/21,0.006756757,4,4,1,1,1,0.006756757
2024/3/20,-0.005347594,5,6,1.2,2,1,-0.005882353
2024/3/18,-0.014405852,61,82,1.344262295,5,1,-0.014132265
2024/3/17,-0.015869248,363,7856,21.64187328,1648,1,-0.008157839
2024/3/16,0,3,3,1,1,1,0
2024/3/15,-0.041867955,3,3,1,1,1,-0.041867955
2024/3/14,-0.006858072,122,255,2.090163934,13,0,-0.006549114
2024/3/13,0.004696128,168,2214,13.17857143,204,0,-0.000306916
2024/3/12,-0.015331195,426,5119,12.01643192,541,0,-0.007456659
2024/3/11,-0.005208333,4,4,1,2,0,-0.005208333
2024/3/10,0.000878349,15,18,1.2,3,1,0.000966184
2024/3/9,-0.000711057,214,2358,11.01869159,635,0,0.000743463
2024/3/8,0.000130131,24,1113,46.375,687,0,0.003793447
2024/3/7,-0.012329536,122,432,3.540983607,63,0,-0.003862801
2024/3/6,-0.001536335,877,6613,7.540478905,1040,0,0.000186866
