date,open,high,low,close,volume
2024-09-24,2646.93,2671.85,2591.67,2653.31,101399.56360844
2024-09-25,2653.53,2673.77,2553.93,2579.25,75241.26087497
2024-09-26,2579.84,2667.81,2558.84,2632.53,76698.05571684
2024-09-27,2632.63,2729.39,2615.45,2695.37,100248.85127199
2024-09-28,2695.37,2705.26,2650.16,2675.79,24386.06817246
2024-09-29,2675.88,2683.77,2634.38,2657.89,27101.55183847
2024-09-30,2657.9,2663.97,2573.89,2601.27,73292.74710664
2024-10-01,2601.33,2657.98,2413.11,2447.55,155891.69082296
2024-10-02,2447.54,2498.47,2351.92,2363.76,91854.68404245
2024-10-03,2363.51,2403.08,2309.17,2349.97,75055.04033974
2024-10-04,2349.73,2440.96,2338.96,2414.43,63427.16619712
2024-10-05,2414.43,2428.22,2389.68,2414.51,17445.77099774
2024-10-06,2414.89,2457.57,2406.0,2439.84,17368.14003888
2024-10-07,2439.36,2520.39,2402.32,2421.68,73870.56676745
2024-10-08,2421.68,2464.51,2399.24,2439.48,60536.06425091
2024-10-09,2439.47,2472.09,2349.63,2368.66,69323.07080214
2024-10-10,2368.35,2418.41,2327.83,2384.32,87146.39549393
2024-10-11,2384.42,2471.1,2379.84,2438.77,79629.60253014
2024-10-12,2439.15,2489.67,2433.43,2475.79,26831.83205704
2024-10-13,2475.79,2484.44,2435.88,2467.67,28115.6827349
2024-10-14,2467.95,2653.03,2442.42,2628.74,134863.19504511
2024-10-15,2628.75,2687.63,2536.47,2606.63,147272.65006204
2024-10-16,2606.73,2646.91,2588.05,2610.54,97943.12619857
2024-10-17,2610.56,2647.43,2574.29,2604.91,67668.26380459
2024-10-18,2604.9,2676.07,2594.79,2641.98,82644.360255
2024-10-19,2642.0,2662.99,2630.82,2647.97,17748.96060487
2024-10-20,2647.97,2758.08,2635.16,2746.22,42114.940021
2024-10-21,2745.91,2768.22,2653.94,2665.35,67046.17608835
2024-10-22,2665.25,2670.37,2603.37,2620.84,70709.73288592
2024-10-23,2620.84,2626.29,2448.36,2521.94,78368.44781749
2024-10-24,2521.91,2559.24,2504.7,2533.99,73450.47584406
2024-10-25,2534.0,2564.84,2379.35,2436.01,137844.37834249
2024-10-26,2435.81,2503.73,2425.54,2479.49,40555.3054383
2024-10-27,2479.49,2524.39,2460.47,2504.69,30629.2909461
2024-10-28,2504.72,2588.0,2468.81,2565.66,94688.91402615
2024-10-29,2565.66,2681.78,2559.3,2637.85,115494.41095118
2024-10-30,2638.11,2721.09,2598.87,2658.16,123666.92523955
2024-10-31,2658.15,2668.12,2500.0,2514.84,93810.99937796
2024-11-01,2514.74,2585.26,2464.83,2510.27,81541.95205262
2024-11-02,2510.27,2522.48,2469.7,2493.44,25043.70021838
2024-11-03,2493.5,2496.01,2409.53,2456.57,56798.1927346
2024-11-04,2456.15,2489.44,2355.43,2397.0,63678.82358185
2024-11-05,2396.62,2479.58,2379.3,2422.24,88639.61877167
2024-11-06,2422.24,2746.83,2420.14,2724.27,248257.23507707
2024-11-07,2724.27,2920.62,2701.52,2897.65,235254.1674329
2024-11-08,2897.65,2986.13,2888.99,2964.09,182093.85658108
2024-11-09,2964.09,3158.83,2956.8,3127.97,114010.46176319
2024-11-10,3127.96,3251.25,3069.19,3186.07,169077.54310611
2024-11-11,3186.03,3391.61,3108.1,3375.78,264362.44195086
2024-11-12,3375.79,3446.98,3210.57,3247.21,277504.30741055
2024-11-13,3247.54,3339.0,3120.8,3191.45,227462.32128441
2024-11-14,3191.34,3242.75,3028.32,3059.04,148297.67622951
2024-11-15,3058.89,3131.68,3012.94,3090.76,148569.2491386
2024-11-16,3090.76,3220.0,3072.9,3134.25,76918.18159684
2024-11-17,3134.48,3161.96,3036.64,3076.79,76318.32370264
2024-11-18,3076.79,3226.8,3050.83,3209.21,139240.77207001
2024-11-19,3209.42,3222.83,3070.0,3111.7,123941.60602607
2024-11-20,3111.63,3161.97,3031.38,3072.24,128820.64743852
2024-11-21,3072.33,3390.35,3034.15,3359.9,263174.60425898
2024-11-22,3360.11,3429.69,3260.78,3331.77,168501.02810417
2024-11-23,3332.16,3500.0,3316.55,3397.51,144344.7907436
2024-11-24,3397.51,3453.9,3286.25,3365.16,83921.83934738
2024-11-25,3365.17,3546.99,3304.11,3414.72,237872.13228768
2024-11-26,3414.64,3462.89,3252.6,3323.67,163133.91511773
2024-11-27,3323.67,3688.54,3300.76,3657.63,215323.88671149
2024-11-28,3657.2,3665.28,3530.02,3579.11,106524.93169029
2024-11-29,3579.48,3650.0,3536.44,3593.67,137566.64651708
2024-11-30,3593.38,3740.63,3569.63,3706.35,93227.76397971
2024-12-01,3706.35,3748.29,3661.12,3710.24,81383.91544408
2024-12-02,3710.08,3762.72,3556.03,3644.52,175600.09449684
2024-12-03,3644.51,3671.71,3502.29,3617.59,171602.2838125
2024-12-04,3617.82,3899.21,3616.92,3843.33,271861.29252455
2024-12-05,3843.84,3960.0,3681.0,3788.93,279984.20786923
2024-12-06,3789.07,4096.0,3781.2,4004.83,238314.83515241
2024-12-07,4005.37,4030.27,3973.19,4000.01,68451.91637822
