Date,Price,Sentiment,Sentiment_Score,Action,Cash,Holdings,Short_Holdings,Portfolio_Value,Crypto_Return,Portfolio_Return
2024-07-10,57792.44598379,Positive,268.0,Hold,0.0,0.5819018518221751,0.0,33629.531339300425,-4.805822288144297,236.29531339300428
2024-07-11,57349.5181351,Positive,6.0,Hold,0.0,0.5819018518221751,0.0,33371.79080392411,-5.535401243040103,233.71790803924108
2024-07-12,57940.43489239,Negative,-70.0,Sell Long,33715.64635926391,0.0,0.0,33715.64635926391,-4.5620588996107205,237.15646359263914
2024-07-13,59258.14435888,Positive,48.0,Buy Long,0.0,0.5689622367361816,0.0,33715.64635926391,-2.391562963847293,237.15646359263914
2024-07-14,60905.74825816,Positive,213.0,Hold,0.0,0.5689622367361816,0.0,34653.07075905351,0.3223262948076941,246.53070759053512
2024-07-15,64804.1331049,Negative,-1.0,Sell Long,36871.10452111314,0.0,0.0,36871.10452111314,6.743641980145925,268.7110452111314
2024-07-16,65150.33207396,Positive,200.0,Buy Long,0.0,0.5659388578289409,0.0,36871.10452111314,7.313891700907056,268.7110452111314
2024-07-17,64114.97788455,Negative,-16.0,Sell Long,36285.157353710034,0.0,0.0,36285.157353710034,5.608483856964009,262.8515735371003
2024-07-18,63983.86770417,Negative,-34.0,Sell Short,72570.31470742007,0.0,0.5670985305463995,72570.31470742007,5.392522659986334,625.7031470742006
2024-07-19,66744.45330223,Positive,137.0,Close Short,71004.79067131269,0.0,0.0,71004.79067131269,9.939685728395357,610.0479067131268
2024-07-20,67163.2874132,Positive,90.0,Buy Long,0.0,1.057196474533462,0.0,71004.79067131269,10.629578120260001,610.0479067131268
2024-07-21,68085.80842715,Positive,282.0,Hold,0.0,1.057196474533462,0.0,71980.07663494366,12.149130162918125,619.8007663494366
2024-07-22,67579.53056733,Positive,175.0,Hold,0.0,1.057196474533462,0.0,71444.84146640761,11.315202757028425,614.4484146640762
2024-07-23,65919.63232649,Positive,131.0,Hold,0.0,1.057196474533462,0.0,69690.00289810727,8.581062586417886,596.9000289810726
2024-07-24,65408.61354468,Positive,2.0,Hold,0.0,1.057196474533462,0.0,69149.75564355736,7.739326060101605,591.4975564355736
2024-07-25,65779.28975493,Negative,-111.0,Sell Long,69541.63322622707,0.0,0.0,69541.63322622707,8.349894040594979,595.4163322622708
2024-07-26,67919.78665783,Positive,4.0,Buy Long,0.0,1.0238788525141826,0.0,69541.63322622707,11.875663526515206,595.4163322622708
2024-07-27,67951.05781723,Negative,-722.0,Sell Long,69573.65110503034,0.0,0.0,69573.65110503034,11.927172547365688,595.7365110503033
2024-07-28,68254.17311899,Positive,225.0,Buy Long,0.0,1.0193318287475264,0.0,69573.65110503034,12.426455998891822,595.7365110503033
2024-07-29,66852.07883191,Positive,29.0,Hold,0.0,1.0193318287475264,0.0,68144.45177130461,10.116963634258065,581.444517713046
2024-07-30,66174.59591259,Positive,221.0,Hold,0.0,1.0193318287475264,0.0,67453.87186820894,9.001031814438845,574.5387186820894
2024-07-31,64671.5135246,Positive,51.0,Hold,0.0,1.0193318287475264,0.0,65921.7321489009,6.525194539823169,559.217321489009
2024-08-01,65189.48817341,Negative,-64.0,Sell Long,66449.72019491726,0.0,0.0,66449.72019491726,7.378388584991033,564.4972019491726
2024-08-02,61484.96109131,Positive,269.0,Buy Long,0.0,1.0807475359093779,0.0,66449.72019491726,1.2763902461298755,564.4972019491726
2024-08-03,60745.27777853,Positive,54.0,Hold,0.0,1.0807475359093779,0.0,65650.30927727699,0.058003594922495474,556.50309277277
2024-08-04,58147.32858138,Negative,-2.0,Sell Long,62842.58208403938,0.0,0.0,62842.58208403938,-4.221269125758622,528.4258208403938
2024-08-05,54077.63736263,Neutral,0.0,Hold,62842.58208403938,0.0,0.0,62842.58208403938,-10.924756104294367,528.4258208403938
2024-08-06,55998.50801516,Negative,-107.0,Sell Short,125685.16416807877,0.0,1.1222188645995095,125685.16416807877,-7.76074912819722,1156.8516416807877
2024-08-07,55020.49812263,Neutral,0.0,Hold,125685.16416807877,0.0,1.1222188645995095,126782.70531924088,-9.371700973695626,1167.8270531924088
2024-08-08,61823.55740612,Neutral,0.0,Hold,125685.16416807877,0.0,1.1222188645995095,119148.18385431958,1.834117077308536,1091.4818385431956
2024-08-09,60931.33675971,Neutral,0.0,Hold,125685.16416807877,0.0,1.1222188645995095,120149.45069510605,0.36447499300631797,1101.4945069510604
2024-08-10,60915.04757343,Positive,1133.0,Close Short,120167.73072723844,0.0,0.0,120167.73072723844,0.337643879231431,1101.6773072723843
2024-08-11,58820.33622653,Positive,8.0,Buy Long,0.0,2.042962322834167,0.0,120167.73072723844,-3.1127088583524576,1101.6773072723843
2024-08-12,59337.8674022,Positive,3.0,Hold,0.0,2.042962322834167,0.0,121225.02742002431,-2.2602452903288164,1112.2502742002432
2024-08-13,60560.02140482,Neutral,0.0,Hold,0.0,2.042962322834167,0.0,123721.84200007794,-0.24714576951433892,1137.2184200007794
2024-08-14,58747.3613485,Positive,195.0,Hold,0.0,2.042962322834167,0.0,120018.64580090974,-3.2329111337439036,1100.1864580090974
2024-08-15,57642.40188585,Negative,-50.0,Sell Long,117761.25525045668,0.0,0.0,117761.25525045668,-5.052970929818363,1077.6125525045668
2024-08-16,58879.36594775,Positive,372.0,Buy Long,0.0,2.0000428563541077,0.0,117761.25525045668,-3.0154766738265835,1077.6125525045668
2024-08-17,59469.54878283,Positive,192.0,Hold,0.0,2.0000428563541077,0.0,118941.64621370127,-2.043343227513354,1089.4164621370128
2024-08-18,58720.22539619,Positive,27.0,Hold,0.0,2.0000428563541077,0.0,117442.96732715286,-3.2776087516177594,1074.4296732715286
2024-08-19,59503.68187683,Positive,4.0,Hold,0.0,2.0000428563541077,0.0,119009.91386452122,-1.9871201042179223,1090.0991386452124
2024-08-20,59046.70928535,Positive,335.0,Hold,0.0,2.0000428563541077,0.0,118095.94909738204,-2.7398331853530564,1080.9594909738203
2024-08-21,61159.90921046,Positive,34.0,Hold,0.0,2.0000428563541077,0.0,122322.43951164631,0.7409734458115989,1123.2243951164633
2024-08-22,60387.04553281,Positive,1.0,Hold,0.0,2.0000428563541077,0.0,120776.67903422688,-0.5320670186444019,1107.7667903422687
2024-08-23,64137.57698019,Positive,661.0,Hold,0.0,2.0000428563541077,0.0,128277.90266309067,5.645708485371073,1182.7790266309069
2024-08-24,64161.14309054,Negative,-554.0,Sell Long,128325.03589374824,0.0,0.0,128325.03589374824,5.684525954651813,1183.2503589374824
2024-08-25,64373.56424856,Positive,16.0,Buy Long,0.0,1.9934430754565342,0.0,128325.03589374824,6.034420428264953,1183.2503589374824
2024-08-26,62927.46935792,Positive,165.0,Hold,0.0,1.9934430754565342,0.0,125442.32804754887,3.652451441411518,1154.4232804754888
2024-08-27,59550.64819719,Positive,25.0,Hold,0.0,1.9934430754565342,0.0,118710.82728763655,-1.9097584322776873,1087.1082728763656
2024-08-28,59069.81141,Positive,252.0,Hold,0.0,1.9934430754565342,0.0,117752.30652378788,-2.7017799809589977,1077.5230652378789
2024-08-29,59379.92694048,Positive,85.0,Hold,0.0,1.9934430754565342,0.0,118370.50418061476,-2.190965939137691,1083.7050418061476
2024-08-30,59180.45617966,Positive,109.0,Hold,0.0,1.9934430754565342,0.0,117972.8705737021,-2.519528863419246,1079.7287057370208
2024-08-31,58969.44183721,Positive,308.0,Hold,0.0,1.9934430754565342,0.0,117552.22549392312,-2.8671060678962887,1075.5222549392313
2024-09-01,57372.10871427,Positive,52.0,Hold,0.0,1.9934430754565342,0.0,114368.03284080101,-5.498190642735596,1043.6803284080102
2024-09-02,59136.19785362,Positive,2.0,Hold,0.0,1.9934430754565342,0.0,117884.64412012634,-2.5924299992435254,1078.8464412012634
2024-09-03,57447.09147034,Neutral,0.0,Hold,0.0,1.9934430754565342,0.0,114517.5066966674,-5.374681044116871,1045.175066966674
2024-09-04,58028.40797574,Positive,67.0,Hold,0.0,1.9934430754565342,0.0,115676.32805900562,-4.417151979896183,1056.7632805900562
2024-09-05,56154.43223083,Negative,-69.0,Sell Long,111940.6640867413,0.0,0.0,111940.6640867413,-7.503914913216329,1019.4066408674129
2024-09-06,53985.10996318,Positive,21.0,Buy Long,0.0,2.0735470236716993,0.0,111940.6640867413,-11.077164772183751,1019.4066408674129
2024-09-07,54223.27196714,Negative,-82.0,Sell Long,112434.50420120422,0.0,0.0,112434.50420120422,-10.684870662750514,1024.3450420120423
2024-09-08,54891.805986,Positive,77.0,Buy Long,0.0,2.0482930408571423,0.0,112434.50420120422,-9.583679233413356,1024.3450420120423
2024-09-09,57041.7886232,Negative,-15.0,Sell Long,116838.29867494467,0.0,0.0,116838.29867494467,-6.0422850986084855,1068.3829867494467
2024-09-10,57662.56641879,Negative,-395.0,Sell Short,233676.59734988934,0.0,2.026241735866817,233676.59734988934,-5.019756448245717,2236.7659734988933
2024-09-11,57382.5388044,Positive,1.0,Close Short,234244.00098936158,0.0,0.0,234244.00098936158,-5.481010476080866,2242.4400098936158
2024-09-12,58110.57024357,Neutral,0.0,Hold,234244.00098936158,0.0,0.0,234244.00098936158,-4.281816480734032,2242.4400098936158
2024-09-13,60631.70969457,Positive,1181.0,Buy Long,0.0,3.8633909907762303,0.0,234244.00098936158,-0.12906272806918234,2242.4400098936158
2024-09-14,60167.90452831,Positive,761.0,Hold,0.0,3.8633909907762303,0.0,232452.1402885572,-0.8930302443950284,2224.521402885572
2024-09-15,59218.46454126,Positive,347.0,Hold,0.0,3.8633909907762303,0.0,228784.08239630554,-2.4569225025515737,2187.8408239630558
2024-09-16,58204.02925119,Negative,-173.0,Sell Long,224864.92223592362,0.0,0.0,224864.92223592362,-4.1278732926805795,2148.649222359236
