Date,Price,Volume,Market_cap
2024-09-23 00:00:00 UTC+0,0.00008608,12407976.675127,490264713.14789990
2024-09-22 00:00:00 UTC+0,0.00008434,12073113.784355,480428444.53063756
2024-09-21 00:00:00 UTC+0,0.00008641,9628991.042055,492731878.23683316
2024-09-20 00:00:00 UTC+0,0.00008527,15123642.097165,486181966.74789745
2024-09-19 00:00:00 UTC+0,0.00008637,21427646.814846,492610773.62726210
2024-09-18 00:00:00 UTC+0,0.00008331,12263245.884607,475132759.22987074
2024-09-17 00:00:00 UTC+0,0.00008183,10805151.983821,466828216.85237180
2024-09-16 00:00:00 UTC+0,0.00008075,12094302.082286,460711590.52919740
2024-09-15 00:00:00 UTC+0,0.00008288,15972356.722927,472903477.95992374
2024-09-14 00:00:00 UTC+0,0.00008968,25587876.722942,511682692.04460690
2024-09-13 00:00:00 UTC+0,0.00008495,12089506.228748,484936916.74623036
2024-09-12 00:00:00 UTC+0,0.00008474,10867291.952913,483843639.99930460
2024-09-11 00:00:00 UTC+0,0.00008303,15103503.189866,474077645.98278180
2024-09-10 00:00:00 UTC+0,0.00008509,23893004.669426,485909641.48256980
2024-09-09 00:00:00 UTC+0,0.00008128,12295569.455291,464306904.39682424
2024-09-08 00:00:00 UTC+0,0.00007697,6825902.839953,439658920.61880976
2024-09-07 00:00:00 UTC+0,0.00007490,5656347.195039,427743326.05381440
2024-09-06 00:00:00 UTC+0,0.00007401,8637850.360474,422684714.43452320
2024-09-05 00:00:00 UTC+0,0.00007594,6523991.489276,433655594.62261057
2024-09-04 00:00:00 UTC+0,0.00007744,11723196.263779,442210604.28916943
2024-09-03 00:00:00 UTC+0,0.00007530,10154255.565784,430028420.61610330
2024-09-02 00:00:00 UTC+0,0.00007827,8499568.565187,446945735.01870394
2024-09-01 00:00:00 UTC+0,0.00007433,7457252.230363,424456366.14922863
2024-08-31 00:00:00 UTC+0,0.00007832,5296862.264178,447417291.75212735
2024-08-30 00:00:00 UTC+0,0.00008064,8824472.795572,461159186.82606530
2024-08-29 00:00:00 UTC+0,0.00008244,9864113.382167,471413414.74206066
2024-08-28 00:00:00 UTC+0,0.00008246,17453759.010873,471561199.72472960
2024-08-27 00:00:00 UTC+0,0.00008219,15937799.502880,469873183.76352704
2024-08-26 00:00:00 UTC+0,0.00008497,20027419.439309,462379797.97617180
2024-08-25 00:00:00 UTC+0,0.00009287,42859064.792675,505309243.51296914
2024-08-24 00:00:00 UTC+0,0.00009105,15239809.193129,495379187.14622873
2024-08-23 00:00:00 UTC+0,0.00009125,18486300.875087,496246400.06327236
2024-08-22 00:00:00 UTC+0,0.00008505,12691181.260944,462548577.60787505
2024-08-21 00:00:00 UTC+0,0.00008352,17057006.570646,454169025.56354207
2024-08-20 00:00:00 UTC+0,0.00007947,15759091.947927,432081342.97062710
2024-08-19 00:00:00 UTC+0,0.00007807,11244424.834890,424534747.41064480
2024-08-18 00:00:00 UTC+0,0.00007779,9969578.150325,423007614.70563865
2024-08-17 00:00:00 UTC+0,0.00007758,5538407.743957,421916363.90378803
