date,price,sentiment,sentiment_score
2025-02-24,91436.47200908,Positive,507.0
2025-02-25,88641.90337867,Negative,-253.0
2025-02-26,83997.85163083,Negative,-62.0
2025-02-27,84710.84934304,Positive,85.0
2025-02-28,84375.17023834,Positive,251.0
2025-03-01,86047.05190275,Positive,260.0
2025-03-02,94281.06085871,Positive,501.0
2025-03-03,86284.4670449,Positive,1790.0
2025-03-04,87288.39166294,Positive,91.0
2025-03-05,90622.31184862,Negative,-160.0
2025-03-06,90274.74904336,Negative,-713.0
2025-03-07,86760.26174462,Positive,198.0
2025-03-08,86156.99779014,Positive,1429.0
2025-03-09,80719.67821135,Positive,263.0
2025-03-10,78789.28137156,Positive,219.0
2025-03-11,82821.21170988,Positive,1308.0
2025-03-12,83681.225335,Positive,90.0
2025-03-13,81112.58952143,Negative,-8.0
2025-03-14,84032.94415056,Positive,31.0
2025-03-15,84413.91399609,Negative,-470.0
2025-03-16,82613.25299027,Negative,-201.0
2025-03-17,84098.58468887,Negative,-546.0
2025-03-18,82680.26394554,Positive,169.0
2025-03-19,86843.61340024,Positive,151.0
2025-03-20,84231.87686863,Positive,444.0
2025-03-21,84288.5778621,Positive,763.0
2025-03-22,84278.62769309,Positive,121.0
2025-03-23,86056.96595452,Negative,-1385.0
2025-03-24,87416.88396239,Positive,287.0
2025-03-25,87462.04004049,Positive,408.0
2025-03-26,86921.24345632,Positive,604.0
2025-03-27,87246.1621052,Negative,-640.0
2025-03-28,84579.06825742,Positive,842.0
2025-03-29,83009.84826449,Positive,342.0
2025-03-30,82184.5655166,Positive,346.0
2025-03-31,82507.042055,Negative,-66.0
2025-04-01,85224.82938405,Negative,-282.0
2025-04-02,82620.33948533,Positive,37.0
2025-04-03,83048.15599658,Positive,428.0
2025-04-04,83862.05352433,Positive,1533.0
2025-04-05,83660.17948779,Positive,334.0
2025-04-06,78114.87306515,Negative,-533.0
2025-04-07,79237.48041963,Positive,6.0
2025-04-08,76256.89592112,Positive,771.0
2025-04-09,82682.91196194,Negative,-84.0
2025-04-10,79581.39286299,Negative,-136.0
2025-04-11,83420.64945222,Positive,13.0
2025-04-12,85312.42132815,Negative,-1013.0
2025-04-13,83569.11227043,Negative,-437.0
2025-04-14,84579.96788937,Positive,55.0
2025-04-15,83729.2469482,Positive,271.0
2025-04-16,84103.46782789,Positive,213.0
2025-04-17,84919.84387141,Negative,-112.0
2025-04-18,84503.46917868,Positive,22.0
2025-04-19,85165.6692758,Positive,16.0
2025-04-20,85112.70771438,Positive,14.0
2025-04-21,87542.68412708,Positive,158.0
2025-04-22,93565.92048058,Negative,-25.0
2025-04-23,93707.39725178,Negative,-365.0
2025-04-24,93910.12555456192,Positive,259.0
2025-04-25,94759.16395314725,Positive,167.0
2025-04-26,94672.0900123108,Positive,172.0
2025-04-27,93822.61917850187,Negative,-63.0
2025-04-28,95082.87722285224,Positive,949.0
